Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.2
Sample Interval,0.0016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,1
Vertical Scale,0.2
Label,
TIME,CH1
-1.411e+00,1.784
-1.410e+00,1.76
-1.408e+00,1.768
-1.406e+00,1.784
-1.405e+00,1.792
-1.403e+00,1.8
-1.402e+00,1.8
-1.400e+00,1.824
-1.398e+00,1.824
-1.397e+00,1.808
-1.395e+00,1.792
-1.394e+00,1.792
-1.392e+00,1.792
-1.390e+00,1.776
-1.389e+00,1.768
-1.387e+00,1.776
-1.386e+00,1.792
-1.384e+00,1.8
-1.382e+00,1.8
-1.381e+00,1.8
-1.379e+00,1.824
-1.378e+00,1.816
-1.376e+00,1.8
-1.374e+00,1.8
-1.373e+00,1.792
-1.371e+00,1.784
-1.370e+00,1.768
-1.368e+00,1.768
-1.366e+00,1.784
-1.365e+00,1.792
-1.363e+00,1.8
-1.362e+00,1.8
-1.360e+00,1.816
-1.358e+00,1.824
-1.357e+00,1.8
-1.355e+00,1.8
-1.354e+00,1.784
-1.352e+00,1.792
-1.350e+00,1.776
-1.349e+00,1.768
-1.347e+00,1.776
-1.346e+00,1.792
-1.344e+00,1.8
-1.342e+00,1.792
-1.341e+00,1.8
-1.339e+00,1.824
-1.338e+00,1.808
-1.336e+00,1.8
-1.334e+00,1.792
-1.333e+00,1.792
-1.331e+00,1.784
-1.330e+00,1.76
-1.328e+00,1.76
-1.326e+00,1.784
-1.325e+00,1.792
-1.323e+00,1.8
-1.322e+00,1.792
-1.320e+00,1.816
-1.318e+00,1.824
-1.317e+00,1.8
-1.315e+00,1.8
-1.314e+00,1.792
-1.312e+00,1.784
-1.310e+00,1.768
-1.309e+00,1.76
-1.307e+00,1.776
-1.306e+00,1.792
-1.304e+00,1.792
-1.302e+00,1.8
-1.301e+00,1.8
-1.299e+00,1.824
-1.298e+00,1.816
-1.296e+00,1.792
-1.294e+00,1.792
-1.293e+00,1.792
-1.291e+00,1.792
-1.290e+00,1.76
-1.288e+00,1.76
-1.286e+00,1.784
-1.285e+00,1.792
-1.283e+00,1.8
-1.282e+00,1.792
-1.280e+00,1.824
-1.278e+00,1.824
-1.277e+00,1.808
-1.275e+00,1.792
-1.274e+00,1.792
-1.272e+00,1.792
-1.270e+00,1.768
-1.269e+00,1.76
-1.267e+00,1.776
-1.266e+00,1.784
-1.264e+00,1.792
-1.262e+00,1.792
-1.261e+00,1.808
-1.259e+00,1.824
-1.258e+00,1.816
-1.256e+00,1.8
-1.254e+00,1.792
-1.253e+00,1.784
-1.251e+00,1.784
-1.250e+00,1.76
-1.248e+00,1.76
-1.246e+00,1.784
-1.245e+00,1.792
-1.243e+00,1.792
-1.242e+00,1.8
-1.240e+00,1.824
-1.238e+00,1.824
-1.237e+00,1.808
-1.235e+00,1.8
-1.234e+00,1.792
-1.232e+00,1.784
-1.230e+00,1.768
-1.229e+00,1.76
-1.227e+00,1.776
-1.226e+00,1.784
-1.224e+00,1.8
-1.222e+00,1.8
-1.221e+00,1.8
-1.219e+00,1.832
-1.218e+00,1.816
-1.216e+00,1.808
-1.214e+00,1.792
-1.213e+00,1.792
-1.211e+00,1.784
-1.210e+00,1.76
-1.208e+00,1.768
-1.206e+00,1.784
-1.205e+00,1.792
-1.203e+00,1.792
-1.202e+00,1.792
-1.200e+00,1.824
-1.198e+00,1.824
-1.197e+00,1.8
-1.195e+00,1.8
-1.194e+00,1.792
-1.192e+00,1.792
-1.190e+00,1.776
-1.189e+00,1.768
-1.187e+00,1.776
-1.186e+00,1.784
-1.184e+00,1.792
-1.182e+00,1.792
-1.181e+00,1.808
-1.179e+00,1.824
-1.178e+00,1.816
-1.176e+00,1.8
-1.174e+00,1.8
-1.173e+00,1.792
-1.171e+00,1.784
-1.170e+00,1.768
-1.168e+00,1.768
-1.166e+00,1.784
-1.165e+00,1.792
-1.163e+00,1.8
-1.162e+00,1.8
-1.160e+00,1.824
-1.158e+00,1.824
-1.157e+00,1.8
-1.155e+00,1.792
-1.154e+00,1.792
-1.152e+00,1.792
-1.150e+00,1.776
-1.149e+00,1.752
-1.147e+00,1.776
-1.146e+00,1.784
-1.144e+00,1.8
-1.142e+00,1.8
-1.141e+00,1.8
-1.139e+00,1.832
-1.138e+00,1.816
-1.136e+00,1.808
-1.134e+00,1.8
-1.133e+00,1.792
-1.131e+00,1.792
-1.130e+00,1.76
-1.128e+00,1.768
-1.126e+00,1.784
-1.125e+00,1.784
-1.123e+00,1.792
-1.122e+00,1.8
-1.120e+00,1.824
-1.118e+00,1.824
-1.117e+00,1.808
-1.115e+00,1.8
-1.114e+00,1.8
-1.112e+00,1.8
-1.110e+00,1.776
-1.109e+00,1.76
-1.107e+00,1.768
-1.106e+00,1.784
-1.104e+00,1.792
-1.102e+00,1.792
-1.101e+00,1.8
-1.099e+00,1.824
-1.098e+00,1.808
-1.096e+00,1.8
-1.094e+00,1.8
-1.093e+00,1.792
-1.091e+00,1.792
-1.090e+00,1.76
-1.088e+00,1.76
-1.086e+00,1.776
-1.085e+00,1.792
-1.083e+00,1.792
-1.082e+00,1.792
-1.080e+00,1.816
-1.078e+00,1.824
-1.077e+00,1.808
-1.075e+00,1.8
-1.074e+00,1.784
-1.072e+00,1.792
-1.070e+00,1.768
-1.069e+00,1.76
-1.067e+00,1.776
-1.066e+00,1.784
-1.064e+00,1.792
-1.062e+00,1.8
-1.061e+00,1.8
-1.059e+00,1.824
-1.058e+00,1.816
-1.056e+00,1.8
-1.054e+00,1.8
-1.053e+00,1.792
-1.051e+00,1.792
-1.050e+00,1.768
-1.048e+00,1.768
-1.046e+00,1.776
-1.045e+00,1.792
-1.043e+00,1.8
-1.042e+00,1.792
-1.040e+00,1.824
-1.038e+00,1.824
-1.037e+00,1.8
-1.035e+00,1.8
-1.034e+00,1.792
-1.032e+00,1.792
-1.030e+00,1.768
-1.029e+00,1.76
-1.027e+00,1.768
-1.026e+00,1.784
-1.024e+00,1.784
-1.022e+00,1.792
-1.021e+00,1.8
-1.019e+00,1.824
-1.018e+00,1.808
-1.016e+00,1.808
-1.014e+00,1.8
-1.013e+00,1.8
-1.011e+00,1.792
-1.010e+00,1.76
-1.008e+00,1.776
-1.006e+00,1.784
-1.005e+00,1.792
-1.003e+00,1.792
-1.002e+00,1.792
-1.000e+00,1.816
-9.984e-01,1.816
-9.968e-01,1.808
-9.952e-01,1.8
-9.936e-01,1.792
-9.920e-01,1.792
-9.904e-01,1.776
-9.888e-01,1.768
-9.872e-01,1.784
-9.856e-01,1.784
-9.840e-01,1.8
-9.824e-01,1.8
-9.808e-01,1.8
-9.792e-01,1.824
-9.776e-01,1.816
-9.760e-01,1.8
-9.744e-01,1.792
-9.728e-01,1.792
-9.712e-01,1.792
-9.696e-01,1.768
-9.680e-01,1.768
-9.664e-01,1.784
-9.648e-01,1.792
-9.632e-01,1.8
-9.616e-01,1.792
-9.600e-01,1.824
-9.584e-01,1.824
-9.568e-01,1.808
-9.552e-01,1.792
-9.536e-01,1.792
-9.520e-01,1.792
-9.504e-01,1.776
-9.488e-01,1.768
-9.472e-01,1.784
-9.456e-01,1.784
-9.440e-01,1.792
-9.424e-01,1.792
-9.408e-01,1.8
-9.392e-01,1.824
-9.376e-01,1.816
-9.360e-01,1.8
-9.344e-01,1.792
-9.328e-01,1.8
-9.312e-01,1.784
-9.296e-01,1.768
-9.280e-01,1.768
-9.264e-01,1.784
-9.248e-01,1.8
-9.232e-01,1.792
-9.216e-01,1.8
-9.200e-01,1.824
-9.184e-01,1.824
-9.168e-01,1.8
-9.152e-01,1.792
-9.136e-01,1.792
-9.120e-01,1.792
-9.104e-01,1.776
-9.088e-01,1.76
-9.072e-01,1.776
-9.056e-01,1.792
-9.040e-01,1.8
-9.024e-01,1.8
-9.008e-01,1.8
-8.992e-01,1.824
-8.976e-01,1.816
-8.960e-01,1.8
-8.944e-01,1.784
-8.928e-01,1.792
-8.912e-01,1.792
-8.896e-01,1.76
-8.880e-01,1.776
-8.864e-01,1.792
-8.848e-01,1.792
-8.832e-01,1.8
-8.816e-01,1.8
-8.800e-01,1.832
-8.784e-01,1.824
-8.768e-01,1.8
-8.752e-01,1.792
-8.736e-01,1.784
-8.720e-01,1.792
-8.704e-01,1.776
-8.688e-01,1.76
-8.672e-01,1.784
-8.656e-01,1.784
-8.640e-01,1.8
-8.624e-01,1.792
-8.608e-01,1.8
-8.592e-01,1.832
-8.576e-01,1.816
-8.560e-01,1.8
-8.544e-01,1.792
-8.528e-01,1.792
-8.512e-01,1.792
-8.496e-01,1.768
-8.480e-01,1.776
-8.464e-01,1.776
-8.448e-01,1.792
-8.432e-01,1.8
-8.416e-01,1.8
-8.400e-01,1.824
-8.384e-01,1.824
-8.368e-01,1.8
-8.352e-01,1.792
-8.336e-01,1.792
-8.320e-01,1.792
-8.304e-01,1.768
-8.288e-01,1.76
-8.272e-01,1.776
-8.256e-01,1.784
-8.240e-01,1.792
-8.224e-01,1.8
-8.208e-01,1.8
-8.192e-01,1.832
-8.176e-01,1.808
-8.160e-01,1.8
-8.144e-01,1.792
-8.128e-01,1.8
-8.112e-01,1.792
-8.096e-01,1.768
-8.080e-01,1.768
-8.064e-01,1.784
-8.048e-01,1.792
-8.032e-01,1.8
-8.016e-01,1.8
-8.000e-01,1.824
-7.984e-01,1.816
-7.968e-01,1.808
-7.952e-01,1.8
-7.936e-01,1.8
-7.920e-01,1.792
-7.904e-01,1.768
-7.888e-01,1.76
-7.872e-01,1.784
-7.856e-01,1.792
-7.840e-01,1.8
-7.824e-01,1.792
-7.808e-01,1.8
-7.792e-01,1.824
-7.776e-01,1.816
-7.760e-01,1.8
-7.744e-01,1.792
-7.728e-01,1.784
-7.712e-01,1.792
-7.696e-01,1.76
-7.680e-01,1.768
-7.664e-01,1.784
