Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,0.0008
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,1
Vertical Scale,0.2
Label,
TIME,CH1
-7.072e-01,1.76
-7.064e-01,1.76
-7.056e-01,1.752
-7.048e-01,1.736
-7.040e-01,1.744
-7.032e-01,1.744
-7.024e-01,1.752
-7.016e-01,1.76
-7.008e-01,1.768
-7.000e-01,1.768
-6.992e-01,1.768
-6.984e-01,1.776
-6.976e-01,1.768
-6.968e-01,1.776
-6.960e-01,1.776
-6.952e-01,1.8
-6.944e-01,1.8
-6.936e-01,1.808
-6.928e-01,1.792
-6.920e-01,1.784
-6.912e-01,1.784
-6.904e-01,1.776
-6.896e-01,1.776
-6.888e-01,1.768
-6.880e-01,1.776
-6.872e-01,1.776
-6.864e-01,1.768
-6.856e-01,1.76
-6.848e-01,1.744
-6.840e-01,1.736
-6.832e-01,1.744
-6.824e-01,1.752
-6.816e-01,1.752
-6.808e-01,1.76
-6.800e-01,1.776
-6.792e-01,1.776
-6.784e-01,1.776
-6.776e-01,1.776
-6.768e-01,1.776
-6.760e-01,1.776
-6.752e-01,1.8
-6.744e-01,1.808
-6.736e-01,1.808
-6.728e-01,1.8
-6.720e-01,1.792
-6.712e-01,1.776
-6.704e-01,1.776
-6.696e-01,1.776
-6.688e-01,1.776
-6.680e-01,1.768
-6.672e-01,1.768
-6.664e-01,1.768
-6.656e-01,1.752
-6.648e-01,1.736
-6.640e-01,1.736
-6.632e-01,1.736
-6.624e-01,1.752
-6.616e-01,1.76
-6.608e-01,1.76
-6.600e-01,1.768
-6.592e-01,1.776
-6.584e-01,1.776
-6.576e-01,1.776
-6.568e-01,1.776
-6.560e-01,1.776
-6.552e-01,1.792
-6.544e-01,1.8
-6.536e-01,1.808
-6.528e-01,1.792
-6.520e-01,1.784
-6.512e-01,1.776
-6.504e-01,1.784
-6.496e-01,1.768
-6.488e-01,1.768
-6.480e-01,1.76
-6.472e-01,1.768
-6.464e-01,1.768
-6.456e-01,1.744
-6.448e-01,1.728
-6.440e-01,1.736
-6.432e-01,1.744
-6.424e-01,1.752
-6.416e-01,1.76
-6.408e-01,1.768
-6.400e-01,1.768
-6.392e-01,1.776
-6.384e-01,1.776
-6.376e-01,1.776
-6.368e-01,1.776
-6.360e-01,1.776
-6.352e-01,1.8
-6.344e-01,1.808
-6.336e-01,1.808
-6.328e-01,1.792
-6.320e-01,1.784
-6.312e-01,1.784
-6.304e-01,1.784
-6.296e-01,1.776
-6.288e-01,1.768
-6.280e-01,1.768
-6.272e-01,1.768
-6.264e-01,1.776
-6.256e-01,1.752
-6.248e-01,1.736
-6.240e-01,1.744
-6.232e-01,1.744
-6.224e-01,1.752
-6.216e-01,1.76
-6.208e-01,1.768
-6.200e-01,1.768
-6.192e-01,1.776
-6.184e-01,1.776
-6.176e-01,1.776
-6.168e-01,1.776
-6.160e-01,1.776
-6.152e-01,1.792
-6.144e-01,1.8
-6.136e-01,1.8
-6.128e-01,1.792
-6.120e-01,1.784
-6.112e-01,1.784
-6.104e-01,1.776
-6.096e-01,1.776
-6.088e-01,1.768
-6.080e-01,1.768
-6.072e-01,1.768
-6.064e-01,1.768
-6.056e-01,1.752
-6.048e-01,1.736
-6.040e-01,1.728
-6.032e-01,1.744
-6.024e-01,1.752
-6.016e-01,1.76
-6.008e-01,1.76
-6.000e-01,1.768
-5.992e-01,1.776
-5.984e-01,1.768
-5.976e-01,1.776
-5.968e-01,1.776
-5.960e-01,1.768
-5.952e-01,1.792
-5.944e-01,1.808
-5.936e-01,1.8
-5.928e-01,1.792
-5.920e-01,1.784
-5.912e-01,1.784
-5.904e-01,1.776
-5.896e-01,1.776
-5.888e-01,1.768
-5.880e-01,1.768
-5.872e-01,1.768
-5.864e-01,1.76
-5.856e-01,1.76
-5.848e-01,1.736
-5.840e-01,1.744
-5.832e-01,1.744
-5.824e-01,1.76
-5.816e-01,1.76
-5.808e-01,1.76
-5.800e-01,1.768
-5.792e-01,1.776
-5.784e-01,1.776
-5.776e-01,1.776
-5.768e-01,1.768
-5.760e-01,1.776
-5.752e-01,1.8
-5.744e-01,1.808
-5.736e-01,1.8
-5.728e-01,1.8
-5.720e-01,1.784
-5.712e-01,1.776
-5.704e-01,1.776
-5.696e-01,1.768
-5.688e-01,1.776
-5.680e-01,1.776
-5.672e-01,1.768
-5.664e-01,1.768
-5.656e-01,1.752
-5.648e-01,1.736
-5.640e-01,1.736
-5.632e-01,1.744
-5.624e-01,1.752
-5.616e-01,1.768
-5.608e-01,1.768
-5.600e-01,1.768
-5.592e-01,1.776
-5.584e-01,1.768
-5.576e-01,1.776
-5.568e-01,1.768
-5.560e-01,1.768
-5.552e-01,1.792
-5.544e-01,1.808
-5.536e-01,1.8
-5.528e-01,1.8
-5.520e-01,1.776
-5.512e-01,1.776
-5.504e-01,1.784
-5.496e-01,1.768
-5.488e-01,1.768
-5.480e-01,1.776
-5.472e-01,1.768
-5.464e-01,1.768
-5.456e-01,1.76
-5.448e-01,1.728
-5.440e-01,1.736
-5.432e-01,1.736
-5.424e-01,1.752
-5.416e-01,1.76
-5.408e-01,1.752
-5.400e-01,1.768
-5.392e-01,1.776
-5.384e-01,1.776
-5.376e-01,1.768
-5.368e-01,1.776
-5.360e-01,1.776
-5.352e-01,1.792
-5.344e-01,1.8
-5.336e-01,1.8
-5.328e-01,1.792
-5.320e-01,1.784
-5.312e-01,1.776
-5.304e-01,1.784
-5.296e-01,1.776
-5.288e-01,1.768
-5.280e-01,1.776
-5.272e-01,1.768
-5.264e-01,1.768
-5.256e-01,1.752
-5.248e-01,1.744
-5.240e-01,1.744
-5.232e-01,1.752
-5.224e-01,1.76
-5.216e-01,1.76
-5.208e-01,1.76
-5.200e-01,1.768
-5.192e-01,1.776
-5.184e-01,1.776
-5.176e-01,1.776
-5.168e-01,1.776
-5.160e-01,1.776
-5.152e-01,1.8
-5.144e-01,1.808
-5.136e-01,1.8
-5.128e-01,1.792
-5.120e-01,1.792
-5.112e-01,1.776
-5.104e-01,1.776
-5.096e-01,1.776
-5.088e-01,1.768
-5.080e-01,1.768
-5.072e-01,1.768
-5.064e-01,1.776
-5.056e-01,1.752
-5.048e-01,1.736
-5.040e-01,1.736
-5.032e-01,1.736
-5.024e-01,1.76
-5.016e-01,1.768
-5.008e-01,1.768
-5.000e-01,1.768
-4.992e-01,1.776
-4.984e-01,1.776
-4.976e-01,1.776
-4.968e-01,1.768
-4.960e-01,1.776
-4.952e-01,1.8
-4.944e-01,1.808
-4.936e-01,1.8
-4.928e-01,1.792
-4.920e-01,1.784
-4.912e-01,1.784
-4.904e-01,1.776
-4.896e-01,1.768
-4.888e-01,1.768
-4.880e-01,1.768
-4.872e-01,1.768
-4.864e-01,1.768
-4.856e-01,1.752
-4.848e-01,1.736
-4.840e-01,1.736
-4.832e-01,1.744
-4.824e-01,1.76
-4.816e-01,1.768
-4.808e-01,1.76
-4.800e-01,1.768
-4.792e-01,1.776
-4.784e-01,1.776
-4.776e-01,1.776
-4.768e-01,1.776
-4.760e-01,1.776
-4.752e-01,1.792
-4.744e-01,1.808
-4.736e-01,1.8
-4.728e-01,1.784
-4.720e-01,1.776
-4.712e-01,1.784
-4.704e-01,1.776
-4.696e-01,1.768
-4.688e-01,1.768
-4.680e-01,1.768
-4.672e-01,1.776
-4.664e-01,1.768
-4.656e-01,1.752
-4.648e-01,1.744
-4.640e-01,1.736
-4.632e-01,1.736
-4.624e-01,1.752
-4.616e-01,1.76
-4.608e-01,1.76
-4.600e-01,1.768
-4.592e-01,1.776
-4.584e-01,1.776
-4.576e-01,1.768
-4.568e-01,1.776
-4.560e-01,1.776
-4.552e-01,1.8
-4.544e-01,1.808
-4.536e-01,1.808
-4.528e-01,1.792
-4.520e-01,1.784
-4.512e-01,1.776
-4.504e-01,1.776
-4.496e-01,1.776
-4.488e-01,1.776
-4.480e-01,1.776
-4.472e-01,1.776
-4.464e-01,1.768
-4.456e-01,1.752
-4.448e-01,1.736
-4.440e-01,1.736
-4.432e-01,1.744
-4.424e-01,1.752
-4.416e-01,1.76
-4.408e-01,1.768
-4.400e-01,1.768
-4.392e-01,1.768
-4.384e-01,1.768
-4.376e-01,1.768
-4.368e-01,1.768
-4.360e-01,1.776
-4.352e-01,1.8
-4.344e-01,1.8
-4.336e-01,1.792
-4.328e-01,1.792
-4.320e-01,1.776
-4.312e-01,1.784
-4.304e-01,1.768
-4.296e-01,1.768
-4.288e-01,1.76
-4.280e-01,1.768
-4.272e-01,1.768
-4.264e-01,1.768
-4.256e-01,1.744
-4.248e-01,1.736
-4.240e-01,1.744
-4.232e-01,1.736
-4.224e-01,1.752
-4.216e-01,1.76
-4.208e-01,1.76
-4.200e-01,1.768
-4.192e-01,1.768
-4.184e-01,1.776
-4.176e-01,1.776
-4.168e-01,1.776
-4.160e-01,1.776
-4.152e-01,1.8
-4.144e-01,1.8
-4.136e-01,1.8
-4.128e-01,1.8
-4.120e-01,1.784
-4.112e-01,1.776
-4.104e-01,1.784
-4.096e-01,1.768
-4.088e-01,1.768
-4.080e-01,1.768
-4.072e-01,1.768
-4.064e-01,1.768
-4.056e-01,1.752
-4.048e-01,1.744
-4.040e-01,1.744
-4.032e-01,1.744
-4.024e-01,1.76
-4.016e-01,1.768
-4.008e-01,1.776
-4.000e-01,1.768
-3.992e-01,1.776
-3.984e-01,1.776
-3.976e-01,1.776
-3.968e-01,1.768
-3.960e-01,1.784
-3.952e-01,1.792
-3.944e-01,1.808
-3.936e-01,1.8
-3.928e-01,1.792
-3.920e-01,1.776
-3.912e-01,1.776
-3.904e-01,1.784
-3.896e-01,1.76
-3.888e-01,1.768
-3.880e-01,1.768
-3.872e-01,1.768
-3.864e-01,1.768
-3.856e-01,1.752
-3.848e-01,1.736
