Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,0.0008
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,1
Vertical Scale,0.2
Label,
TIME,CH1
-7.072e-01,1.736
-7.064e-01,1.736
-7.056e-01,1.744
-7.048e-01,1.76
-7.040e-01,1.752
-7.032e-01,1.76
-7.024e-01,1.768
-7.016e-01,1.76
-7.008e-01,1.768
-7.000e-01,1.768
-6.992e-01,1.768
-6.984e-01,1.784
-6.976e-01,1.8
-6.968e-01,1.8
-6.960e-01,1.792
-6.952e-01,1.784
-6.944e-01,1.784
-6.936e-01,1.776
-6.928e-01,1.776
-6.920e-01,1.768
-6.912e-01,1.768
-6.904e-01,1.768
-6.896e-01,1.768
-6.888e-01,1.76
-6.880e-01,1.736
-6.872e-01,1.736
-6.864e-01,1.736
-6.856e-01,1.744
-6.848e-01,1.76
-6.840e-01,1.76
-6.832e-01,1.76
-6.824e-01,1.768
-6.816e-01,1.776
-6.808e-01,1.776
-6.800e-01,1.768
-6.792e-01,1.776
-6.784e-01,1.784
-6.776e-01,1.808
-6.768e-01,1.808
-6.760e-01,1.8
-6.752e-01,1.784
-6.744e-01,1.784
-6.736e-01,1.776
-6.728e-01,1.784
-6.720e-01,1.768
-6.712e-01,1.776
-6.704e-01,1.768
-6.696e-01,1.776
-6.688e-01,1.776
-6.680e-01,1.752
-6.672e-01,1.744
-6.664e-01,1.744
-6.656e-01,1.752
-6.648e-01,1.76
-6.640e-01,1.76
-6.632e-01,1.76
-6.624e-01,1.768
-6.616e-01,1.768
-6.608e-01,1.776
-6.600e-01,1.776
-6.592e-01,1.776
-6.584e-01,1.784
-6.576e-01,1.8
-6.568e-01,1.8
-6.560e-01,1.8
-6.552e-01,1.784
-6.544e-01,1.776
-6.536e-01,1.776
-6.528e-01,1.768
-6.520e-01,1.768
-6.512e-01,1.768
-6.504e-01,1.768
-6.496e-01,1.768
-6.488e-01,1.76
-6.480e-01,1.744
-6.472e-01,1.736
-6.464e-01,1.736
-6.456e-01,1.752
-6.448e-01,1.76
-6.440e-01,1.76
-6.432e-01,1.752
-6.424e-01,1.768
-6.416e-01,1.768
-6.408e-01,1.776
-6.400e-01,1.776
-6.392e-01,1.776
-6.384e-01,1.792
-6.376e-01,1.8
-6.368e-01,1.8
-6.360e-01,1.8
-6.352e-01,1.784
-6.344e-01,1.784
-6.336e-01,1.784
-6.328e-01,1.776
-6.320e-01,1.768
-6.312e-01,1.768
-6.304e-01,1.768
-6.296e-01,1.768
-6.288e-01,1.768
-6.280e-01,1.736
-6.272e-01,1.744
-6.264e-01,1.736
-6.256e-01,1.752
-6.248e-01,1.76
-6.240e-01,1.76
-6.232e-01,1.76
-6.224e-01,1.768
-6.216e-01,1.776
-6.208e-01,1.776
-6.200e-01,1.776
-6.192e-01,1.776
-6.184e-01,1.792
-6.176e-01,1.8
-6.168e-01,1.808
-6.160e-01,1.8
-6.152e-01,1.784
-6.144e-01,1.784
-6.136e-01,1.776
-6.128e-01,1.776
-6.120e-01,1.776
-6.112e-01,1.768
-6.104e-01,1.776
-6.096e-01,1.768
-6.088e-01,1.768
-6.080e-01,1.744
-6.072e-01,1.728
-6.064e-01,1.744
-6.056e-01,1.752
-6.048e-01,1.76
-6.040e-01,1.76
-6.032e-01,1.76
-6.024e-01,1.76
-6.016e-01,1.776
-6.008e-01,1.776
-6.000e-01,1.768
-5.992e-01,1.776
-5.984e-01,1.792
-5.976e-01,1.8
-5.968e-01,1.8
-5.960e-01,1.792
-5.952e-01,1.784
-5.944e-01,1.776
-5.936e-01,1.784
-5.928e-01,1.768
-5.920e-01,1.76
-5.912e-01,1.76
-5.904e-01,1.768
-5.896e-01,1.768
-5.888e-01,1.768
-5.880e-01,1.736
-5.872e-01,1.728
-5.864e-01,1.736
-5.856e-01,1.752
-5.848e-01,1.752
-5.840e-01,1.76
-5.832e-01,1.76
-5.824e-01,1.768
-5.816e-01,1.768
-5.808e-01,1.768
-5.800e-01,1.768
-5.792e-01,1.768
-5.784e-01,1.784
-5.776e-01,1.8
-5.768e-01,1.808
-5.760e-01,1.8
-5.752e-01,1.784
-5.744e-01,1.784
-5.736e-01,1.776
-5.728e-01,1.776
-5.720e-01,1.768
-5.712e-01,1.768
-5.704e-01,1.776
-5.696e-01,1.76
-5.688e-01,1.76
-5.680e-01,1.736
-5.672e-01,1.736
-5.664e-01,1.736
-5.656e-01,1.744
-5.648e-01,1.752
-5.640e-01,1.76
-5.632e-01,1.768
-5.624e-01,1.768
-5.616e-01,1.776
-5.608e-01,1.776
-5.600e-01,1.768
-5.592e-01,1.776
-5.584e-01,1.784
-5.576e-01,1.8
-5.568e-01,1.808
-5.560e-01,1.792
-5.552e-01,1.784
-5.544e-01,1.784
-5.536e-01,1.776
-5.528e-01,1.776
-5.520e-01,1.768
-5.512e-01,1.768
-5.504e-01,1.768
-5.496e-01,1.768
-5.488e-01,1.768
-5.480e-01,1.736
-5.472e-01,1.728
-5.464e-01,1.736
-5.456e-01,1.752
-5.448e-01,1.76
-5.440e-01,1.768
-5.432e-01,1.76
-5.424e-01,1.776
-5.416e-01,1.768
-5.408e-01,1.776
-5.400e-01,1.768
-5.392e-01,1.776
-5.384e-01,1.784
-5.376e-01,1.8
-5.368e-01,1.808
-5.360e-01,1.792
-5.352e-01,1.784
-5.344e-01,1.784
-5.336e-01,1.768
-5.328e-01,1.776
-5.320e-01,1.768
-5.312e-01,1.768
-5.304e-01,1.768
-5.296e-01,1.768
-5.288e-01,1.768
-5.280e-01,1.744
-5.272e-01,1.736
-5.264e-01,1.736
-5.256e-01,1.752
-5.248e-01,1.76
-5.240e-01,1.768
-5.232e-01,1.76
-5.224e-01,1.768
-5.216e-01,1.776
-5.208e-01,1.768
-5.200e-01,1.768
-5.192e-01,1.776
-5.184e-01,1.792
-5.176e-01,1.8
-5.168e-01,1.8
-5.160e-01,1.8
-5.152e-01,1.784
-5.144e-01,1.776
-5.136e-01,1.776
-5.128e-01,1.776
-5.120e-01,1.768
-5.112e-01,1.768
-5.104e-01,1.768
-5.096e-01,1.768
-5.088e-01,1.768
-5.080e-01,1.752
-5.072e-01,1.728
-5.064e-01,1.736
-5.056e-01,1.752
-5.048e-01,1.76
-5.040e-01,1.76
-5.032e-01,1.768
-5.024e-01,1.776
-5.016e-01,1.768
-5.008e-01,1.776
-5.000e-01,1.776
-4.992e-01,1.776
-4.984e-01,1.792
-4.976e-01,1.8
-4.968e-01,1.808
-4.960e-01,1.8
-4.952e-01,1.784
-4.944e-01,1.784
-4.936e-01,1.784
-4.928e-01,1.776
-4.920e-01,1.768
-4.912e-01,1.768
-4.904e-01,1.768
-4.896e-01,1.768
-4.888e-01,1.76
-4.880e-01,1.744
-4.872e-01,1.728
-4.864e-01,1.736
-4.856e-01,1.752
-4.848e-01,1.76
-4.840e-01,1.76
-4.832e-01,1.76
-4.824e-01,1.768
-4.816e-01,1.768
-4.808e-01,1.768
-4.800e-01,1.776
-4.792e-01,1.776
-4.784e-01,1.784
-4.776e-01,1.8
-4.768e-01,1.808
-4.760e-01,1.792
-4.752e-01,1.784
-4.744e-01,1.784
-4.736e-01,1.776
-4.728e-01,1.776
-4.720e-01,1.768
-4.712e-01,1.768
-4.704e-01,1.76
-4.696e-01,1.768
-4.688e-01,1.768
-4.680e-01,1.736
-4.672e-01,1.736
-4.664e-01,1.736
-4.656e-01,1.752
-4.648e-01,1.76
-4.640e-01,1.76
-4.632e-01,1.768
-4.624e-01,1.76
-4.616e-01,1.776
-4.608e-01,1.768
-4.600e-01,1.776
-4.592e-01,1.768
-4.584e-01,1.784
-4.576e-01,1.8
-4.568e-01,1.8
-4.560e-01,1.8
-4.552e-01,1.784
-4.544e-01,1.776
-4.536e-01,1.776
-4.528e-01,1.768
-4.520e-01,1.768
-4.512e-01,1.768
-4.504e-01,1.776
-4.496e-01,1.768
-4.488e-01,1.768
-4.480e-01,1.736
-4.472e-01,1.736
-4.464e-01,1.752
-4.456e-01,1.752
-4.448e-01,1.752
-4.440e-01,1.768
-4.432e-01,1.76
-4.424e-01,1.768
-4.416e-01,1.776
-4.408e-01,1.768
-4.400e-01,1.776
-4.392e-01,1.776
-4.384e-01,1.792
-4.376e-01,1.808
-4.368e-01,1.808
-4.360e-01,1.8
-4.352e-01,1.792
-4.344e-01,1.776
-4.336e-01,1.776
-4.328e-01,1.776
-4.320e-01,1.768
-4.312e-01,1.768
-4.304e-01,1.776
-4.296e-01,1.768
-4.288e-01,1.768
-4.280e-01,1.744
-4.272e-01,1.736
-4.264e-01,1.744
-4.256e-01,1.744
-4.248e-01,1.76
-4.240e-01,1.76
-4.232e-01,1.76
-4.224e-01,1.76
-4.216e-01,1.776
-4.208e-01,1.768
-4.200e-01,1.776
-4.192e-01,1.768
-4.184e-01,1.792
-4.176e-01,1.8
-4.168e-01,1.8
-4.160e-01,1.792
-4.152e-01,1.792
-4.144e-01,1.776
-4.136e-01,1.768
-4.128e-01,1.776
-4.120e-01,1.776
-4.112e-01,1.768
-4.104e-01,1.768
-4.096e-01,1.768
-4.088e-01,1.76
-4.080e-01,1.736
-4.072e-01,1.736
-4.064e-01,1.736
-4.056e-01,1.752
-4.048e-01,1.76
-4.040e-01,1.76
-4.032e-01,1.76
-4.024e-01,1.768
-4.016e-01,1.768
-4.008e-01,1.768
-4.000e-01,1.776
-3.992e-01,1.776
-3.984e-01,1.792
-3.976e-01,1.8
-3.968e-01,1.808
-3.960e-01,1.8
-3.952e-01,1.784
-3.944e-01,1.776
-3.936e-01,1.776
-3.928e-01,1.776
-3.920e-01,1.768
-3.912e-01,1.768
-3.904e-01,1.768
-3.896e-01,1.768
-3.888e-01,1.768
-3.880e-01,1.744
-3.872e-01,1.744
-3.864e-01,1.744
-3.856e-01,1.752
-3.848e-01,1.76
